alpha,mean_tau,median_tau,std_tau,mean_tau_frac,median_tau_frac,p25_tau_frac,p75_tau_frac,n_abstained,seed,dataset_key
0.1,60.25355450236967,57.0,41.18430053537709,0.43418963403833377,0.4206103494029191,0.20857954545454546,0.6627180232558139,422,0,gsm8k_phi3
0.2,51.28639053254438,45.0,38.24831192455758,0.40728258240587645,0.38095238095238093,0.1566265060240964,0.6451612903225806,845,0,gsm8k_phi3
0.3,44.54222573007103,38.0,36.07576096961849,0.3734489612461472,0.3364485981308411,0.11650485436893204,0.6111111111111112,1267,0,gsm8k_phi3
0.4,36.977514792899406,30.5,32.738692393291494,0.3246096304454502,0.25940062199604186,0.07321138211382114,0.5348543966501713,1690,0,gsm8k_phi3
0.5,31.785984848484848,23.0,31.298895574470176,0.2878350433124783,0.19204425711275025,0.04683849299065421,0.4606544771018455,2112,0,gsm8k_phi3
0.6,25.85043409629045,13.5,28.876627829025388,0.24536876256412252,0.129520697167756,0.03508771929824561,0.38635416666666667,2534,0,gsm8k_phi3
0.7,21.427122083192426,9.0,26.727166113479633,0.21010633238052814,0.08860759493670886,0.02127659574468085,0.325,2957,0,gsm8k_phi3
0.8,15.222255105060668,5.0,21.961547864747516,0.15817691686449506,0.05434782608695652,0.011904761904761904,0.20707937002962734,3379,0,gsm8k_phi3
0.9,9.885030255196002,3.0,16.09600863182224,0.11217137944177223,0.024691358024691357,0.0,0.12727272727272726,3801,0,gsm8k_phi3
0.1,61.997630331753555,58.5,41.5300666973014,0.45553202572030543,0.47738546833965567,0.2182086942038641,0.6747022121384004,422,1,gsm8k_phi3
0.2,51.01301775147929,47.0,36.15012839812423,0.4080244551661981,0.39436619718309857,0.16666666666666666,0.6129032258064516,845,1,gsm8k_phi3
0.3,43.05130228887135,38.0,34.478064190161355,0.3627109426463292,0.3314917127071823,0.10484002279573394,0.5786303107165505,1267,1,gsm8k_phi3
0.4,37.10828402366864,31.0,32.918935613222615,0.32338968877340474,0.2626408484045072,0.0725296442687747,0.5321725711218466,1690,1,gsm8k_phi3
0.5,32.54403409090909,26.0,30.759098069175256,0.2952680708034106,0.2083478260869565,0.05340966921119593,0.48193101225016116,2112,1,gsm8k_phi3
0.6,27.551302288871348,16.0,29.209236402217876,0.25859711571660177,0.1520233918128655,0.03392713017410354,0.4282246879334258,2534,1,gsm8k_phi3
0.7,22.531958065607036,10.0,27.320132902437194,0.21929032418319383,0.0945945945945946,0.019736842105263157,0.35570469798657717,2957,1,gsm8k_phi3
0.8,17.593962710861202,7.0,22.83865793329226,0.1847651480194976,0.06521739130434782,0.0125,0.28735632183908044,3379,1,gsm8k_phi3
0.9,10.948960799789528,4.0,16.40822057042133,0.1243757853075457,0.03508771929824561,0.0,0.16883116883116883,3801,1,gsm8k_phi3
0.1,62.741706161137444,57.0,45.598309136865446,0.4472059186106994,0.42470334412081984,0.2167763157894737,0.668546365914787,422,2,gsm8k_phi3
0.2,48.78816568047337,43.0,38.31910675875832,0.3949703339655001,0.37373737373737376,0.1277258566978193,0.6124031007751938,845,2,gsm8k_phi3
0.3,43.45146014206788,38.0,36.336450297245776,0.3698381451826162,0.33663366336633666,0.0975609756097561,0.5875644329896907,1267,2,gsm8k_phi3
0.4,37.16923076923077,32.0,34.04450272335423,0.33476935885952486,0.2676056338028169,0.058823529411764705,0.5535118130457113,1690,2,gsm8k_phi3
0.5,31.986742424242426,24.0,31.433835249283685,0.3004623992336362,0.2,0.04576730608840701,0.4944009953785994,2112,2,gsm8k_phi3
0.6,27.722967640094712,14.0,30.995120954765305,0.2622524364995598,0.14692390717754994,0.03314950980392157,0.42718446601941745,2534,2,gsm8k_phi3
0.7,22.12242137301319,9.0,27.692925100035964,0.21995712944820167,0.08571428571428572,0.020202020202020204,0.34545454545454546,2957,2,gsm8k_phi3
0.8,17.451908848771826,6.0,24.310284216162316,0.18427398589932192,0.05421686746987952,0.009662061239731142,0.26726190476190476,3379,2,gsm8k_phi3
0.9,10.78689818468824,3.0,17.96705005106248,0.12373366489925929,0.023809523809523808,0.0,0.1326530612244898,3801,2,gsm8k_phi3
0.1,57.345971563981045,52.0,43.40652887728466,0.41157428551814523,0.4149809318520975,0.14169254658385091,0.6472276724075285,422,3,gsm8k_phi3
0.2,44.61065088757397,37.0,35.8757702701385,0.3490236091365516,0.3,0.11392405063291139,0.5555555555555556,845,3,gsm8k_phi3
