dataset_key,sigma,alpha,accuracy_mean,accuracy_std
gsm8k_phi3,0.0,0.1,0.9167061299657984,0.000992789385115026
gsm8k_phi3,0.0,0.2,0.9308079313406333,0.00226470866761875
gsm8k_phi3,0.0,0.3,0.9358592692828145,0.0020139209832391734
gsm8k_phi3,0.0,0.4,0.9417521704814522,0.0008500654786320795
gsm8k_phi3,0.0,0.5,0.9494318181818183,0.0024766471270117225
gsm8k_phi3,0.0,0.6,0.9591474245115453,0.00450904269145293
gsm8k_phi3,0.0,0.7,0.9755327545382795,0.0024958781848211384
gsm8k_phi3,0.0,0.8,0.9893364928909953,0.0016756084862240086
gsm8k_phi3,0.0,0.9,0.9938388625592417,0.0024165969258734088
gsm8k_phi3,0.1,0.1,0.9162391475927387,0.001078743716578276
gsm8k_phi3,0.1,0.2,0.9304601953240604,0.0017826574200273315
gsm8k_phi3,0.1,0.3,0.9354110284167796,0.001889348008099146
gsm8k_phi3,0.1,0.4,0.9414956590370954,0.0007774620483364534
gsm8k_phi3,0.1,0.5,0.94921875,0.0017644856149823952
gsm8k_phi3,0.1,0.6,0.9595322676139727,0.003739696765636634
gsm8k_phi3,0.1,0.7,0.9748421468034728,0.0020844692417118127
gsm8k_phi3,0.1,0.8,0.9884774881516588,0.000751692982254143
gsm8k_phi3,0.1,0.9,0.994016587677725,0.0013431023754449072
gsm8k_phi3,0.25,0.1,0.9156077348066299,0.0009575216537949374
gsm8k_phi3,0.25,0.2,0.9293430008878367,0.0012520980054042878
gsm8k_phi3,0.25,0.3,0.9353179972936401,0.0020312846738844946
gsm8k_phi3,0.25,0.4,0.9414068666140489,0.001326357315568565
gsm8k_phi3,0.25,0.5,0.9495383522727273,0.0012630824026130746
gsm8k_phi3,0.25,0.6,0.9598134991119005,0.0026868168828703253
gsm8k_phi3,0.25,0.7,0.9737371744277823,0.0019902574599722283
gsm8k_phi3,0.25,0.8,0.9860781990521327,0.0018090558631045975
gsm8k_phi3,0.25,0.9,0.9943720379146919,0.0010597478566349763
gsm8k_phi3,0.5,0.1,0.9142528282031044,0.001086057588023746
gsm8k_phi3,0.5,0.2,0.9282480023675644,0.0013006882501317022
gsm8k_phi3,0.5,0.3,0.9353941136671177,0.0012344291130256925
gsm8k_phi3,0.5,0.4,0.941574585635359,0.0006994306185779569
gsm8k_phi3,0.5,0.5,0.9487097537878787,0.0007088449299990147
gsm8k_phi3,0.5,0.6,0.9582445233866193,0.002492398760557887
gsm8k_phi3,0.5,0.7,0.969060773480663,0.004653323748376861
gsm8k_phi3,0.5,0.8,0.9795023696682463,0.006384376179668807
gsm8k_phi3,0.5,0.9,0.9887440758293838,0.004515601658805552
gsm8k_phi3,1.0,0.1,0.900605103920021,0.007172411643516815
gsm8k_phi3,1.0,0.2,0.9220701390944066,0.005431356708532816
gsm8k_phi3,1.0,0.3,0.9332290257104194,0.001781678043062428
gsm8k_phi3,1.0,0.4,0.9397099447513811,0.0024514936843720915
gsm8k_phi3,1.0,0.5,0.9454782196969695,0.002827907829140021
gsm8k_phi3,1.0,0.6,0.9519538188277087,0.0037572310739207833
gsm8k_phi3,1.0,0.7,0.958839779005525,0.00488110123241061
gsm8k_phi3,1.0,0.8,0.9666469194312797,0.007550935875793535
gsm8k_phi3,1.0,0.9,0.9770142180094787,0.006563809945243813
gsm8k_phi3,2.0,0.1,0.8720270981320706,0.0005660228880281632
gsm8k_phi3,2.0,0.2,0.8742675347736016,0.0015114605723765705
