dataset_key,alpha,mean_achieved,std_achieved,mean_error
gsm8k_phi3,0.05,0.04852709100473435,0.0007357496439084364,-0.0014729089952656496
gsm8k_phi3,0.1,0.09690689110994215,0.0019328512796965027,-0.003093108890057858
gsm8k_phi3,0.15,0.14344555497106787,0.0017968214637775028,-0.0065544450289321265
gsm8k_phi3,0.2,0.1922382956338769,0.0021824023139049614,-0.007761704366123112
gsm8k_phi3,0.25,0.2428748027354024,0.0017707754854894963,-0.007125197264597594
gsm8k_phi3,0.3,0.293537611783272,0.0035975601838663046,-0.00646238821672801
gsm8k_phi3,0.35,0.34405839032088376,0.002994132058689592,-0.005941609679116222
gsm8k_phi3,0.4,0.39298264071541295,0.0036246200662013546,-0.007017359284587077
gsm8k_phi3,0.45,0.44138611257233035,0.0025526713066268405,-0.008613887427669664
gsm8k_phi3,0.5,0.4897948448185166,0.0014491632525259633,-0.010205155181483405
gsm8k_phi3,0.55,0.5382167280378749,0.0010960371665446735,-0.011783271962125141
gsm8k_phi3,0.6,0.5878905839032088,0.0010298614332757334,-0.01210941609679117
gsm8k_phi3,0.65,0.6375092056812205,0.0021686333575551857,-0.01249079431877953
gsm8k_phi3,0.7,0.6905891635981062,0.003168032042079048,-0.009410836401893774
gsm8k_phi3,0.75,0.7425039452919516,0.002048869285748662,-0.007496054708048372
gsm8k_phi3,0.8,0.7950578642819568,0.0016703579034025144,-0.00494213571804325
gsm8k_phi3,0.85,0.8461230931088899,0.0016839285804810843,-0.003876906891110088
gsm8k_phi3,0.9,0.8976012624934245,0.0023659415804964962,-0.002398737506575488
gsm8k_phi3,0.95,0.9478485007890584,0.0019160674562346105,-0.0021514992109415987
gsm8k_qwen,0.05,0.04840873224618621,0.0005493896759510115,-0.0015912677538137895
gsm8k_qwen,0.1,0.09834034718569173,0.0014170233092483569,-0.0016596528143082712
gsm8k_qwen,0.15,0.1475697001578117,0.0010060073292817112,-0.002430299842188288
gsm8k_qwen,0.2,0.19658600736454496,0.0022236362955670393,-0.0034139926354550543
gsm8k_qwen,0.25,0.24764597580220937,0.0014709350265494322,-0.0023540241977906273
gsm8k_qwen,0.3,0.29645449763282483,0.0010892181886794493,-0.0035455023671751573
gsm8k_qwen,0.35,0.34574697527617043,0.0014140470387319763,-0.004253024723829546
gsm8k_qwen,0.4,0.3971357180431352,0.0031912336954165975,-0.0028642819568648337
gsm8k_qwen,0.45,0.4469463440294582,0.0023591159788144273,-0.003053655970541802
gsm8k_qwen,0.5,0.49647027880063127,0.003326095091136986,-0.0035297211993687294
gsm8k_qwen,0.55,0.5457601262493424,0.0023267427808173658,-0.004239873750657597
gsm8k_qwen,0.6,0.5943398211467648,0.002413604523020522,-0.00566017885323522
gsm8k_qwen,0.65,0.6442425039452921,0.0027922758688881085,-0.005757496054707878
gsm8k_qwen,0.7,0.6956338769068912,0.002236516222682425,-0.004366123093108798
gsm8k_qwen,0.75,0.7450184113624407,0.0026942412570834942,-0.004981588637559264
gsm8k_qwen,0.8,0.7937375065754866,0.0014730827657320473,-0.00626249342451346
gsm8k_qwen,0.85,0.8435796948974226,0.0012388579700748413,-0.006420305102577406
gsm8k_qwen,0.9,0.8946607048921621,0.0008987802645024382,-0.005339295107837927
gsm8k_qwen,0.95,0.9451867438190427,0.001300577391763739,-0.004813256180957293
olympiadMath_phi3,0.05,0.053791152263374484,0.003136999814612878,0.003791152263374481
olympiadMath_phi3,0.1,0.10380144032921809,0.0039057880152388483,0.0038014403292180865
olympiadMath_phi3,0.15,0.1554835390946502,0.002561986616631825,0.005483539094650214
olympiadMath_phi3,0.2,0.20547325102880656,0.0020001227756181418,0.005473251028806553
olympiadMath_phi3,0.25,0.25571502057613166,0.003104090361934488,0.0057150205761316575
olympiadMath_phi3,0.3,0.3025874485596708,0.0036473914065001663,0.002587448559670802
olympiadMath_phi3,0.35,0.35102880658436214,0.003946080159994797,0.001028806584362163
olympiadMath_phi3,0.4,0.4011934156378601,0.0028892160513748688,0.0011934156378600735
olympiadMath_phi3,0.45,0.45044753086419753,0.0026286259894263754,0.00044753086419752064
olympiadMath_phi3,0.5,0.5016769547325103,0.0017784075721057901,0.001676954732510283
olympiadMath_phi3,0.55,0.5542798353909465,0.0026480330344199506,0.0042798353909464515
olympiadMath_phi3,0.6,0.607366255144033,0.0007357225999498286,0.007366255144032996
olympiadMath_phi3,0.65,0.6597479423868313,0.0005542680554342142,0.009747942386831299
olympiadMath_phi3,0.7,0.709454732510288,0.0019185656770910285,0.009454732510288055
olympiadMath_phi3,0.75,0.7596965020576132,0.0023895126488284214,0.009696502057613188
olympiadMath_phi3,0.8,0.8064814814814815,0.0016806115296373139,0.0064814814814814214
olympiadMath_phi3,0.85,0.854645061728395,0.0023646107186385277,0.004645061728395072
olympiadMath_phi3,0.9,0.9018415637860082,0.0012636534389961374,0.0018415637860081935
olympiadMath_phi3,0.95,0.9494084362139918,0.0017724160878484015,-0.0005915637860081091
olympiadMath_qwen,0.05,0.05948559670781892,0.0013356073112524968,0.00948559670781892
olympiadMath_qwen,0.1,0.11080761316872427,0.0027679199414694907,0.010807613168724264
olympiadMath_qwen,0.15,0.1617438271604938,0.0035200974725896443,0.011743827160493797
