dataset_key,transform,alpha,accuracy
gsm8k_phi3,$g(v)=v^2$,0.1,0.9167061299657986
gsm8k_phi3,$g(v)=v^2$,0.2,0.9308079313406333
gsm8k_phi3,$g(v)=v^2$,0.3,0.9358592692828147
gsm8k_phi3,$g(v)=v^2$,0.4,0.9417521704814522
gsm8k_phi3,$g(v)=v^2$,0.5,0.9494318181818182
gsm8k_phi3,$g(v)=v^2$,0.6,0.9591474245115453
gsm8k_phi3,$g(v)=v^2$,0.7,0.9755327545382795
gsm8k_phi3,$g(v)=v^2$,0.8,0.9893364928909951
gsm8k_phi3,$g(v)=v^2$,0.9,0.9938388625592417
gsm8k_phi3,$g(v)=\sqrt{v}$,0.1,0.9167061299657986
gsm8k_phi3,$g(v)=\sqrt{v}$,0.2,0.9308079313406333
gsm8k_phi3,$g(v)=\sqrt{v}$,0.3,0.9358592692828147
gsm8k_phi3,$g(v)=\sqrt{v}$,0.4,0.9417521704814522
gsm8k_phi3,$g(v)=\sqrt{v}$,0.5,0.9494318181818182
gsm8k_phi3,$g(v)=\sqrt{v}$,0.6,0.9591474245115453
gsm8k_phi3,$g(v)=\sqrt{v}$,0.7,0.9755327545382795
gsm8k_phi3,$g(v)=\sqrt{v}$,0.8,0.9893364928909951
gsm8k_phi3,$g(v)=\sqrt{v}$,0.9,0.9938388625592417
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.1,0.9167061299657986
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.2,0.9308079313406333
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.3,0.9358592692828147
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.4,0.9417521704814522
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.5,0.9494318181818182
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.6,0.9591474245115453
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.7,0.9755327545382795
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.8,0.9893364928909951
gsm8k_phi3,$g(v)=\sigma(5(v-0.5))$,0.9,0.9938388625592417
gsm8k_qwen,$g(v)=v^2$,0.1,0.9123914759273875
gsm8k_qwen,$g(v)=v^2$,0.2,0.9345960343296834
gsm8k_qwen,$g(v)=v^2$,0.3,0.9483761840324763
gsm8k_qwen,$g(v)=v^2$,0.4,0.9619573796369376
gsm8k_qwen,$g(v)=v^2$,0.5,0.975189393939394
gsm8k_qwen,$g(v)=v^2$,0.6,0.9828300769686205
gsm8k_qwen,$g(v)=v^2$,0.7,0.9905288082083663
gsm8k_qwen,$g(v)=v^2$,0.8,0.9969194312796208
gsm8k_qwen,$g(v)=v^2$,0.9,0.9995260663507108
gsm8k_qwen,$g(v)=\sqrt{v}$,0.1,0.9123914759273875
gsm8k_qwen,$g(v)=\sqrt{v}$,0.2,0.9345960343296834
gsm8k_qwen,$g(v)=\sqrt{v}$,0.3,0.9483761840324763
gsm8k_qwen,$g(v)=\sqrt{v}$,0.4,0.9619573796369376
gsm8k_qwen,$g(v)=\sqrt{v}$,0.5,0.975189393939394
gsm8k_qwen,$g(v)=\sqrt{v}$,0.6,0.9828300769686205
gsm8k_qwen,$g(v)=\sqrt{v}$,0.7,0.9905288082083663
gsm8k_qwen,$g(v)=\sqrt{v}$,0.8,0.9969194312796208
gsm8k_qwen,$g(v)=\sqrt{v}$,0.9,0.9995260663507108
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.1,0.9123914759273875
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.2,0.9345960343296834
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.3,0.9483761840324763
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.4,0.9619573796369376
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.5,0.975189393939394
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.6,0.9828300769686205
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.7,0.9905288082083663
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.8,0.9969194312796208
gsm8k_qwen,$g(v)=\sigma(5(v-0.5))$,0.9,0.9995260663507108
olympiadMath_phi3,$g(v)=v^2$,0.1,0.1809670781893004
olympiadMath_phi3,$g(v)=v^2$,0.2,0.19895833333333332
olympiadMath_phi3,$g(v)=v^2$,0.3,0.22248677248677245
olympiadMath_phi3,$g(v)=v^2$,0.4,0.25586419753086426
olympiadMath_phi3,$g(v)=v^2$,0.5,0.3007407407407407
olympiadMath_phi3,$g(v)=v^2$,0.6,0.36134259259259255
olympiadMath_phi3,$g(v)=v^2$,0.7,0.4376543209876543
olympiadMath_phi3,$g(v)=v^2$,0.8,0.5382830626450117
olympiadMath_phi3,$g(v)=v^2$,0.9,0.6455813953488373
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.1,0.18065843621399175
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.2,0.19895833333333332
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.3,0.22261904761904763
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.4,0.25586419753086426
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.5,0.3007407407407407
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.6,0.36134259259259255
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.7,0.4376543209876543
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.8,0.5382830626450117
olympiadMath_phi3,$g(v)=\sqrt{v}$,0.9,0.6455813953488373
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.1,0.1809670781893004
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.2,0.19895833333333332
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.3,0.22248677248677245
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.4,0.25586419753086426
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.5,0.3007407407407407
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.6,0.36134259259259255
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.7,0.4376543209876543
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.8,0.5382830626450117
olympiadMath_phi3,$g(v)=\sigma(5(v-0.5))$,0.9,0.6455813953488373
olympiadMath_qwen,$g(v)=v^2$,0.1,0.46532921810699596
olympiadMath_qwen,$g(v)=v^2$,0.2,0.5105324074074075
olympiadMath_qwen,$g(v)=v^2$,0.3,0.5621693121693122
olympiadMath_qwen,$g(v)=v^2$,0.4,0.6191358024691358
olympiadMath_qwen,$g(v)=v^2$,0.5,0.6877777777777778
olympiadMath_qwen,$g(v)=v^2$,0.6,0.774074074074074
olympiadMath_qwen,$g(v)=v^2$,0.7,0.8617283950617285
olympiadMath_qwen,$g(v)=v^2$,0.8,0.9127610208816705
olympiadMath_qwen,$g(v)=v^2$,0.9,0.9134883720930234
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.1,0.4651234567901234
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.2,0.5108796296296296
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.3,0.5617724867724869
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.4,0.6195987654320987
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.5,0.6877777777777778
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.6,0.7736111111111112
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.7,0.8617283950617285
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.8,0.9127610208816705
olympiadMath_qwen,$g(v)=\sqrt{v}$,0.9,0.9134883720930234
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.1,0.463991769547325
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.2,0.5104166666666667
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.3,0.5611111111111111
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.4,0.6174382716049382
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.5,0.6877777777777778
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.6,0.774074074074074
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.7,0.8617283950617285
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.8,0.9127610208816705
olympiadMath_qwen,$g(v)=\sigma(5(v-0.5))$,0.9,0.9134883720930234
