dataset_key,perturbation_type,perturbation,mean_abs_delta_accuracy
gsm8k_phi3,monotone_transform,$g(v)=v^2$,
gsm8k_phi3,monotone_transform,$g(v)=\sqrt{v}$,
gsm8k_phi3,monotone_transform,$g(v)=\sigma(5(v-0.5))$,
gsm8k_phi3,additive_noise,sigma=0.1x_std,0.00042719106409960794
gsm8k_phi3,additive_noise,sigma=0.25x_std,0.0010899510516241026
gsm8k_phi3,additive_noise,sigma=0.5x_std,0.0031868697474046626
gsm8k_phi3,additive_noise,sigma=1.0x_std,0.010762853922820972
gsm8k_phi3,additive_noise,sigma=2.0x_std,0.06304772765349774
gsm8k_qwen,monotone_transform,$g(v)=v^2$,
gsm8k_qwen,monotone_transform,$g(v)=\sqrt{v}$,
gsm8k_qwen,monotone_transform,$g(v)=\sigma(5(v-0.5))$,
gsm8k_qwen,additive_noise,sigma=0.1x_std,0.0005477795231871369
gsm8k_qwen,additive_noise,sigma=0.25x_std,0.0010963952829216152
gsm8k_qwen,additive_noise,sigma=0.5x_std,0.0043544038140376955
gsm8k_qwen,additive_noise,sigma=1.0x_std,0.014193452197228685
gsm8k_qwen,additive_noise,sigma=2.0x_std,0.08301796560721354
olympiadMath_phi3,monotone_transform,$g(v)=v^2$,
olympiadMath_phi3,monotone_transform,$g(v)=\sqrt{v}$,
olympiadMath_phi3,monotone_transform,$g(v)=\sigma(5(v-0.5))$,
olympiadMath_phi3,additive_noise,sigma=0.1x_std,0.0006634036191634773
olympiadMath_phi3,additive_noise,sigma=0.25x_std,0.002151373791094381
olympiadMath_phi3,additive_noise,sigma=0.5x_std,0.007527791877862634
olympiadMath_phi3,additive_noise,sigma=1.0x_std,0.0316272716683305
olympiadMath_phi3,additive_noise,sigma=2.0x_std,0.09088557567647004
olympiadMath_qwen,monotone_transform,$g(v)=v^2$,
olympiadMath_qwen,monotone_transform,$g(v)=\sqrt{v}$,
olympiadMath_qwen,monotone_transform,$g(v)=\sigma(5(v-0.5))$,
olympiadMath_qwen,additive_noise,sigma=0.1x_std,0.006787850813252265
olympiadMath_qwen,additive_noise,sigma=0.25x_std,0.02661945492057753
olympiadMath_qwen,additive_noise,sigma=0.5x_std,0.06020444938122101
olympiadMath_qwen,additive_noise,sigma=1.0x_std,0.11576916093733308
olympiadMath_qwen,additive_noise,sigma=2.0x_std,0.20768105043162471
